pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_orbper,st_lum,st_teff,st_spectype,st_rad,discoverymethod,disc_year,pl_trandur,pl_orbeccen,hostname,sy_pnum,curationCategory,_esi_rank_display,_hzd_rank_display
HATS-30 b,13.170575,224.38798,1414.0,0.04354,3.1743516,0.09691,5943.0,G,1.061,Transit,2016,2.7504,0.096,HATS-30,1,rest,0.08931434224895352,-5.353370730473861
K2-263 b,2.513,15.4,482.0,0.2573,50.819172,-0.25964,5368.0,G9 V,0.85,Transit,2018,3.7496,0.08,K2-263,1,rest,0.5565639226769545,-3.8871988500049075
K2-229 b,1.0,2.55,1818.0,0.0131,0.584216,-0.38869,5315.0,G9,0.79,Transit,2018,1.5,0.0,K2-229,2,rest,0.13429374586198478,-5.441197259744049
Kepler-69 b,2.24,5.65,779.0,0.094,13.722341,-0.097,5638.0,G4 V,0.93,Transit,2013,5.126,0.16,Kepler-69,2,rest,0.3391265462635571,-5.038417416389227
V1298 Tau d,6.53,6.0,831.0,0.1081,12.401394,-0.02045,4970.0,K1,1.32,Transit,2019,5.57,0.0087,V1298 Tau,4,rest,0.14003478810588982,-5.011906384298374
TOI-1246 d,3.43139739,5.4,587.77,0.132,18.654874,-0.30103,5213.0,K V,0.8649,Transit,2022,3.9484217,0.0,TOI-1246,4,rest,0.33110761964606783,-4.650120584596451
TOI-2076 e,1.301,4.7,1110.0,0.03863,3.0223753,-0.42285,5187.0,K V,0.758,Transit,2025,2.16,0.0,TOI-2076,4,rest,0.2364172497277812,-5.239537743961296
HD 219134 c,1.511,4.36,782.0,0.0653,6.76458,-0.57741,4699.0,K3 V,0.778,Radial Velocity,2015,1.66,0.062,HD 219134,6,rest,0.37458516356000576,-4.934454392319035
TOI-5628 A b,8.29464572,28.60455663,492.0,0.0368,4.3416612,-1.88,3310.0,M3.0&plusmn1.0,0.35,Transit,2026,1.7793909,0.0,TOI-5628 A,1,rest,0.2637795034605416,-4.013011819561162
TOI-6478 b,4.6,19.2,204.4,0.1136,34.005019,-2.24244,3230.0,M4.0+/-0.5,0.234,Transit,2025,2.9,,TOI-6478,1,rest,0.4599244908867159,1.6100148461823869
TOI-771 b,1.36,2.47,543.0,0.0208,2.3260155,-2.20343,3370.0,M3,0.232,Transit,2024,0.96,0.055,TOI-771,2,rest,0.5681432782787125,-4.287308953317279
Kepler-125 b,2.37,6.21,590.0,0.041,4.164389,-1.3279,3810.0,M1 V,0.512,Transit,2014,1.798,0.0,Kepler-125,2,rest,0.43581348232383854,-4.638494829579083
KELT-19 A b,21.40919,1293.5681,1935.0,0.0637,4.6117093,0.97772,7500.0,A8 V,1.83,Transit,2017,4.3944,,KELT-19 A,1,rest,0.05631642498963644,-5.440370934967044
WASP-117 b,11.88154,95.349,1001.0,0.09459,10.02165,0.27413,6040.0,F9,1.22,Transit,2014,5.94,0.3,WASP-117,1,rest,0.12253529516491667,-5.2103446865161605
HIP 41378 d,3.65,6.53,367.0,1.17,278.3618,0.39646,6290.0,F6,1.3,Transit,2016,12.71,0.063,HIP 41378,6,rest,0.4905699281846637,-2.0102639322491824
TOI-201 d,1.39,5.8,1237.0,0.0698,5.84889,0.41664,6423.0,F,1.31,Transit,2026,3.257,0.3,TOI-201,3,rest,0.20610319678018657,-5.333083449257232
HR 858 c,1.979,3.8,1309.0,0.0687,5.973865,0.36361,6354.0,F6 V,1.258,Transit,2019,2.843,0.0,HR 858,3,rest,0.19746439357537704,-5.323580762536558
CoRoT-32 b,6.38913,47.6745,938.0,0.071,6.71837,-0.1549,5970.0,G0 VI,0.79,Transit,2018,2.496,,CoRoT-32,1,rest,0.189523155197894,-5.1347895626243725
HD 191939 c,3.195,8.0,600.0,0.1752,28.579743,-0.18709,5348.0,G9 V,0.94,Transit,2020,4.162,0.034,HD 191939,6,rest,0.36666300949945874,-4.504296424922982
K2-37 b,1.39,2.51,949.0,0.05105,4.4434,-0.40798,5352.0,G3 V,0.809,Transit,2016,2.3,,K2-37,3,rest,0.32348835153535277,-5.150048568431384
K2-265 b,1.70824866,7.3418362,1366.0,0.03359,2.36902,-0.18243,5420.0,G8 V,0.92,Transit,2018,2.3088,0.16,K2-265,1,rest,0.19269515583375,-5.341483630827375
WASP-105 b,10.76064,572.094,900.0,0.075,7.87288,-0.02427,5070.0,K2,0.9,Transit,2017,3.72,0.0,WASP-105,1,rest,0.19494044793749152,-5.171614386197637
Kepler-278 c,3.268,34.9,492.0,0.287,51.111,0.64933,4965.0,K2 III-IV,2.861,Transit,2014,11.233,0.616,Kepler-278,2,rest,0.5149876140101308,-4.891833459350481
K2-136 b,1.014,4.3,610.0,0.0707,7.97525,-0.7765,4500.0,K5.5,0.677,Transit,2017,2.67,0.14,K2-136,3,rest,0.38808908189826463,-4.715937116606644
TOI-178 e,2.301,3.48,600.0,0.0783,9.96318,-0.86646,4316.0,K,0.662,Transit,2021,2.501,0.00038,TOI-178,6,rest,0.402019317257662,-4.528046792973307
TOI-530 b,9.30345398,127.1313628,565.0,0.052,6.387597,-1.3098,3659.0,M0.5 V,0.54,Transit,2021,2.5660579,0.0,TOI-530,1,rest,0.278500809264445,-4.4205092491294735
TOI-674 b,5.25,23.6,635.0,0.025,1.977143,-1.61439,3514.0,M2 V,0.42,Transit,2021,1.1104153,0.0,TOI-674,1,rest,0.2899446305716987,-4.775324628368493
Kepler-81 d,1.21,1.92,418.0,0.128,20.837846,-0.88941,4500.0,M0 V,0.595,Transit,2014,2.57,0.0,Kepler-81,3,rest,0.7185914349403214,-3.8422759251986585
LHS 1903 d,2.5,5.96,442.0,0.08604,12.566287,-1.32451,3664.0,M,0.539,Transit,2026,2.762,0.112,LHS 1903,4,rest,0.5426919919084757,-3.6568882550949686
KELT-20 b,19.514869,1074.90106,2262.0,0.0542,3.4741085,1.1038,8720.0,A2 V,1.565,Transit,2017,3.57552,0.0,KELT-20,1,rest,0.04847671549189597,-5.466353242313969
WASP-72 b,14.45961,731.009,2210.0,0.03711,2.21673,0.724,6250.0,F7,2.18,Transit,2012,3.8789472,0.0,WASP-72,1,rest,0.05869809235463862,-5.461994143605374
HIP 41378 b,2.64,6.9,959.0,0.1303,15.57209,0.39646,6290.0,F6,1.3,Transit,2016,5.26,0.05,HIP 41378,6,rest,0.2536025597151807,-5.1457931754954895
HD 106315 b,2.44,12.6,1153.0,0.0907,9.55237,0.39454,6327.0,F5 V,1.296,Transit,2017,3.775,0.093,HD 106315,2,rest,0.23169083699672144,-5.264613622064491
TOI-4515 b,12.17,637.0,705.0,0.118,15.266446,-0.23582,5433.0,G8/G9,0.86,Transit,2024,3.24,0.461,TOI-4515,1,rest,0.23462419921671948,-4.801824569976854
K2-292 b,2.63,24.5,795.0,0.13,16.9841,0.09254,5725.0,G3 V,1.09,Transit,2019,3.66,0.04,K2-292,1,rest,0.32236802088655986,-4.982455873684119
